,NWP (£m) ,NWP (£m) ,NWP (£m) ,NWP (£m) ,NWP (£m) ,SCR (£m),SCR (£m),SCR (£m),SCR (£m),SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,GWP (£m),GWP (£m),GWP (£m),GWP (£m),GWP (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity]
,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE
Firm 43,0,0,0,0,0,1.847449418,1.76980185,1.779280811,1.697776781,1.556984671,3.269073386,3.312319036,3.539886743,3.428173631,3.324742525,1.70506796,1.803420889,1.917054467,1.945681728,2.057610945,0,0,0,0,0,52.01264357,49.46279121,46.23978292,43.35942221,36.91573558,48.74357019,46.15047217,42.69989618,39.93124858,33.59099305,3.269073386,3.312319036,3.539886743,3.428173631,3.324742525
Firm 44,20.20547769,14.9981204,7.598739592,13.22984258,0,2.344127515,3.318109674,3.459357988,3.261345217,0,4.867283454,5.870019433,6.22604161,6.194867179,0,2.000759954,1.704662402,1.734227594,1.830310653,0,20.20547769,14.9981204,7.615896205,13.27943054,0,108.5845504,124.479025,120.7127049,133.0489667,0,103.7172669,118.6090055,114.4866633,126.8540996,0,4.867283454,5.870019433,6.22604161,6.194867179,0
Firm 45,15.19850829,53.826954,75.73475499,87.14970639,88.03844547,71.43251123,50.21673394,72.35031184,91.55969486,102.6262043,78.11311264,70.03520832,86.77077198,112.0716573,139.0284531,1.053701518,1.343870875,1.155640182,1.179454082,1.305374137,69.51618837,229.0785857,318.972834,425.447043,422.1755383,83.54572793,213.2039518,333.0773495,517.8052403,587.7363943,5.432615287,143.1687435,246.3065775,405.7335831,448.7079406,78.11311264,70.03520832,86.77077198,112.0716573,139.0284531
Firm 46,7.276591299,6.964044484,6.497391988,5.913775272,5.692298679,6.530267788,4.789882751,5.647148043,4.025809945,3.936603796,76.72427829,64.08765648,69.03694004,24.57523872,15.63298869,11.32117233,12.89255783,11.77990914,5.882122394,3.826571979,157.972289,143.501788,128.4516646,123.4237344,120.0600051,126.9590305,124.985927,120.5821905,87.56649812,96.22209384,50.23475218,60.89827055,51.54525045,62.99125939,80.58910514,76.72427829,64.08765648,69.03694004,24.57523872,15.63298869
Firm 47,0,241.4867847,343.2215259,403.7989382,652.62304,16.4898983,9.657527924,6.719341552,3.14546568,3.612202888,67.27210406,69.4627748,31.33648553,21.22945537,20.41345896,3.931032318,6.930678215,4.493793899,6.503445152,5.445453382,0,241.4867847,343.2215259,403.7989382,652.62304,1978.594884,2082.792605,1840.458823,1976.558451,2513.893579,1911.32278,2013.32983,1770.578977,1955.328996,2493.48012,67.27210406,69.4627748,69.87984553,21.22945537,20.41345895
Firm 48,91.74131981,100.6969476,132.917518,102.6063476,64.36969539,58.33432247,68.59155619,72.83628256,73.68193327,64.66512192,86.09719398,92.7113897,100.8630569,118.731602,108.4566062,1.422179517,1.302422874,1.334362826,1.55272625,1.616127015,94.05073388,103.6269232,137.8048806,130.1794278,108.4854857,175.5740741,190.8774318,217.4797284,250.3104841,248.4685614,89.47693114,98.16603348,116.6166542,131.5788821,140.0119551,86.09719398,92.7113897,100.8630569,118.731602,108.4566062
Firm 49,4.39013432,4.292228231,4.293361887,4.263410199,4.284776248,2.661977912,3.770083255,3.212055614,3.616324272,3.880951852,5.241517975,6.759949561,6.447916017,8.573139162,8.423827146,1.897327109,1.727754746,1.934309194,2.284347062,2.091513981,4.39013432,4.292228231,4.293361887,4.263410199,4.284776248,32.37334922,33.28517032,32.45136485,34.81698126,35.89863764,27.13183125,26.52522076,26.00344883,26.2438421,27.47481049,5.241517975,6.759949561,6.447916017,8.573139162,8.423827146
Firm 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firm 51,0,1504.30398,2794.101889,4377.361635,3661.795209,6.942596472,9.378806445,6.544600215,2.295038904,2.950114103,9.068289024,11.26510109,9.896263954,5.127076972,6.910292346,1.25861531,1.157383003,1.45706098,2.152629887,2.257081221,0,1504.30398,2794.101889,4377.361635,3661.795209,6795.950781,9055.380257,11191.8043,15289.89515,17526.15171,6786.878638,9044.115156,11181.90804,15284.76807,17519.24142,9.07214336,11.26510109,9.896263954,5.127076972,6.910292346
Firm 52,0,9.839780761,10.94862941,8.332083993,9.641130182,4.004828118,3.693128748,2.604040675,3.192910727,5.59113446,7.856901838,8.574513991,9.767420918,9.126791629,10.34540065,1.890414439,2.237199148,3.61427938,2.754361502,1.782940942,0,17.61627573,20.38204858,16.122492,16.22179042,28.26294205,34.8378345,32.20858221,32.60103979,33.15339896,22.40845427,28.10988488,23.74318163,25.07070353,25.60356554,5.854487779,6.727949617,8.465400581,7.530336266,7.549833419
Firm 53,55.08290934,537.3867334,274.944602,21.14582197,-8.05496,279.1343895,299.6826507,262.3793288,12.09772292,19.19943887,449.4337787,437.478832,379.4121414,400.1753059,228.6586036,1.551464866,1.406646671,1.393385182,31.87397532,11.47594851,135.1301342,1018.708385,553.6515649,405.9311969,208.5486682,15088.84239,14893.8093,11868.08131,9882.531776,8123.295924,14639.40861,14456.33047,11401.94661,9482.35647,7894.637321,449.4337787,437.478832,466.1347014,400.1753059,228.6586036
Firm 54,203.5467961,235.9935438,248.0076428,144.9706416,0,234.4393674,224.8484186,247.1229915,187.9444786,0,316.342445,306.2554549,290.8342466,298.2380641,0,1.300218995,1.312452443,1.134023285,1.529054905,0,231.2384072,262.8292965,297.0787343,178.0516144,0,904.5726195,989.6629315,1048.512384,749.230342,0,530.4291916,618.0484232,694.324287,415.3279565,0,374.1434279,371.6145083,354.1880969,333.9023855,0
Firm 55,0.9616288881,-64.67904583,-2.669026398,52.56416689,-24.59482255,22.30760195,108.5158601,290.3589948,289.3656486,305.175785,206.1915887,606.3115633,667.3176011,654.410181,551.4049526,8.906511613,5.383840859,2.214557066,2.179177739,1.741045705,-13.87344154,-1.799014219,5.610898562,58.38615179,-95.42443429,223.9078187,637.8702295,766.6857559,772.7311903,702.5065298,17.71622995,31.55866624,99.36815478,118.3210093,151.1015772,206.1915887,606.3115633,667.3176011,654.410181,551.4049526
Firm 56,-0.03585014272,0,0,0,0,1.087430291,0.8229015261,0.3090630156,0.5640165499,0.6135151259,9.033561457,8.754285906,9.254116198,9.238351964,5.938648071,8.004738653,10.25091042,28.85210411,15.78309739,9.327213008,-0.03585014272,0,0,0,0,18.12030311,12.50803337,13.67110817,12.15409259,8.258934747,9.086741658,3.753747466,4.416991969,2.915740624,2.320286416,9.033561457,8.754285906,9.254116198,9.238351964,5.938648071
Firm 57,10.35406372,14.03257859,18.43187845,32.75585966,31.25705321,9.490427051,9.914228691,14.29496125,8.793379562,9.927983692,19.53248715,23.31412804,21.81215294,14.69591913,17.50130409,1.983176521,2.265947403,1.470297206,1.610387955,1.69863057,10.35844922,14.03563009,18.43461669,33.58147922,32.28068345,74.61054891,78.61799562,72.11548788,84.80345355,103.6103316,55.07806176,55.30386757,50.30333494,70.10753442,86.10902754,19.53248715,23.31412804,21.81215294,14.69591913,17.50130484
Firm 58,0,0,0,0.00000128156672,0,0.4123435815,0.5144543236,0.630691092,102.2671808,109.0789001,4.114942447,3.925576062,3.989535498,187.0821785,188.3406513,9.615992296,7.352688296,6.09530184,1.762729671,1.663768501,0,0,0,0.00000512626688,0,4.270817387,4.047191275,4.006741913,990.4490047,992.2868827,0.1558749401,0.1216152133,0.01720641519,803.3668261,834.7809197,4.114942447,3.925576062,3.989535498,187.0821785,157.505963
Firm 59,3.990564225,3.613895746,2.969622931,3.450432615,3.138133054,28.15332632,29.13269658,28.79502989,37.45488281,43.45209434,96.5360908,96.85955624,68.4539435,68.93561249,72.2376758,3.304072544,3.20369652,2.290712145,1.773473797,1.601926666,40.31039704,45.3724011,49.84848314,77.54967322,107.5478808,246.2579739,223.2655315,205.9808218,232.1931898,330.1278935,149.7218831,126.4059753,137.5268783,163.2575773,257.8902177,96.5360908,96.85955624,68.4539435,68.93561249,72.2376758
Firm 60,53.43026542,-6.682416352,0,0,0,127.1947425,71.19497294,0,0,0,171.075448,134.3307181,0,0,0,1.296009263,1.818090875,0,0,0,136.2271354,11.53228089,0,0,0,597.3610156,486.1725471,0,0,0,426.2855676,351.841829,0,0,0,171.075448,134.3307181,0,0,0
Firm 61,2.122539331,-5.221281339,-7.84247749,-0.4178206218,0.8501526882,128.0923722,97.31585632,75.68268123,67.06006963,61.84535728,139.60694,150.3859939,173.0771349,187.1079435,100.203432,1.050203157,1.489063992,2.203600021,2.688548068,1.561223478,2.849704634,-4.948002464,-7.917129149,0.1562913976,0.7567673137,451.5835956,401.9914713,374.6186288,369.647939,253.0371822,311.9766556,251.6054774,201.5414939,182.5399955,152.8337503,139.60694,150.3859939,173.0771349,187.1079435,100.203432
Firm 62,0,-45.75308603,-40.7614046,-40.16572192,-28.40511992,0,40.82704052,47.62675964,96.49067871,76.89190399,0,92.88954724,202.4980829,336.6589048,401.7265641,0,2.192343122,4.096938658,3.361973803,5.034304907,0,26.66450474,31.1972797,32.49947743,32.83765123,0,150.5956305,253.0616655,361.0336053,523.830935,0,74.37959226,70.28731714,69.26415571,160.5503229,0,76.21603822,182.7743484,291.7694496,363.2806121
Firm 63,0,73.61289927,75.51988118,75.22927164,95.24089649,58.01946874,76.17808328,83.44934172,115.305173,102.7038337,74.67664178,82.61804943,106.8633887,140.0875908,168.7438092,1.240225372,1.045043759,1.233944444,1.170686081,1.583181745,0,82.11803033,86.92680969,95.67861147,135.5750931,134.1768357,155.9853619,229.3521054,291.2009869,322.7223848,59.50019393,73.36731244,122.4887167,151.1133961,153.9785757,74.67664178,82.61804943,106.8633887,140.0875908,168.7438092
Firm 64,0.1960641463,4.363308431,0.0952998548,0.1025752513,0,113.3801329,95.40122607,93.26925719,92.71161654,0,19.97001365,25.16815528,33.29051618,37.00217432,0,0.1697192017,0.2542067093,0.3439312128,0.3845764368,0,0.1960641463,4.363308431,0.0952998548,0.1025752513,0,69.30510271,75.17471632,76.82559564,82.21172566,0,49.33508905,50.00656104,43.53507946,45.20955135,0,19.97001365,25.16815528,33.29051618,37.00217432,0
Firm 65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firm 66,100.3278789,-2305.854316,36.58529964,0,0,466.6368472,87.87903983,0.000000963584,0,0,978.3427851,474.5309376,3.856018235,0,0,2.020233636,5.203179505,3856018.235,0,0,200.8086286,179.6136273,329.0296085,0,0,10206.53738,9495.906796,3.856018235,0,0,9228.194598,9021.375859,0,0,0,978.3427851,474.5309376,3.856018235,0,0
Firm 67,132.1569754,0,0,0,0,26.47518959,0,0,0,0,47.95130068,0,0,0,0,1.745222861,0,0,0,0,160.1518138,0,0,0,0,12144.10648,0,0,0,0,12096.15518,0,0,0,0,47.95130068,0,0,0,0
Firm 68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firm 69,3.51671593,3.781904007,3.704836867,3.581617638,3.484983682,14.76062896,16.43034679,14.3063239,15.72465895,16.3175182,27.24238306,30.0914584,27.63943283,27.95122534,27.34197515,1.778401483,1.764761768,1.86161836,1.712810026,1.614601526,3.976411532,4.09694956,4.002532752,3.870800336,3.761961201,40.25667338,41.34861509,40.01746212,43.54119341,42.63554869,13.01429032,11.25715669,12.37802929,15.58996807,15.29357355,27.24238306,30.0914584,27.63943283,27.95122534,27.34197557
Firm 70,15.73497019,16.64702076,17.55740047,19.16072507,20.58545699,50.05133507,52.05144693,54.07134998,60.23032188,61.62292146,84.29133917,93.53351695,99.13313413,103.7947895,108.8184524,1.622769615,1.731506149,1.766612114,1.66054232,1.701570084,15.73497019,16.64702076,17.55740047,19.16072507,20.58545699,81.57762269,88.76801576,86.58869207,88.71952353,88.80553235,-2.713716478,-4.765501189,-12.54444206,-15.07526595,-20.01292005,84.29133917,93.53351695,99.13313413,103.7947895,108.8184524
Firm 71,134.8933556,0,0,0,0,162.5619356,0,0,0,0,387.0734822,0,0,0,0,2.294373606,0,0,0,0,1950.27326,0,0,0,0,4326.867025,0,0,0,0,3939.793542,0,0,0,0,387.0734822,0,0,0,0
Firm 72,284.2704087,331.5226815,395.5652694,320.5211546,408.497063,253.1242671,262.3537532,195.9767913,193.3003482,179.3880097,524.7739326,458.1961133,469.2327075,466.0093363,448.5625354,1.997689794,1.682882132,2.307136096,2.323012579,2.409456925,353.5172015,406.7684543,519.5051183,400.3847601,499.749338,1459.912705,1363.730839,1406.927823,1338.188553,1400.058788,935.1387723,905.5347261,937.6951159,872.1792163,951.4962528,524.7739326,458.1961133,469.2327075,466.0093363,448.5625354
Firm 73,5952.075574,642.0307989,11615.85128,14800.72949,5655.803588,1544.723089,1679.951222,2084.662096,2927.300994,3490.682633,2781.497005,2740.394284,3752.761507,5890.474926,7085.424053,1.735072149,1.571831403,1.734622101,1.938976348,1.955892864,6626.909266,1394.787214,12934.99868,16000.88333,7016.188731,36769.52177,35482.36577,46223.79342,70743.35931,89412.16632,34335.61171,33381.79607,43435.16629,66605.03744,84131.86729,2433.910058,2100.569693,2788.627139,4138.321875,5280.299033
Firm 74,170.1582009,181.6766387,190.0454419,205.7962782,222.2573763,268.0243366,281.7047096,247.5430693,254.6284386,253.1558193,459.576603,541.0316563,531.7609502,549.3489703,499.6778683,1.652240491,1.850623826,2.069928052,2.0788875,1.901917958,258.500519,275.7226276,289.1187469,313.2688833,344.7580822,1035.668684,1061.124185,1008.409821,1045.096943,1052.420566,571.6685983,515.6690459,472.225388,491.3244893,548.319215,464.000086,545.4551392,536.1844331,553.7724532,504.1013512
Firm 75,24.86439672,21.74639412,14.02951886,14.21150376,13.77320085,41.32829939,37.73933052,36.34786705,28.6612215,31.19853087,121.8825017,109.1339088,117.6422727,120.5142385,119.2453368,2.841733879,2.786474666,3.118703267,4.051662347,3.682958635,36.63884452,31.24038825,27.94615973,16.94076371,16.40306783,249.0410729,199.7526146,220.4303465,181.539684,179.1472456,127.1585712,90.61870581,102.7880738,61.02544553,59.90190882,121.8825017,109.1339088,117.6422727,120.5142385,119.2453368
Firm 76,2202.237267,2248.304798,2580.572327,2200.538136,2638.516124,916.8438396,944.1295085,1017.078308,1221.788606,1311.388906,1343.199084,1229.568061,1351.839502,1493.348163,1960.57119,1.411674584,1.254904226,1.280738076,1.177753982,1.44059098,2521.944417,1784.343157,2045.213548,1775.604848,1955.002572,13686.55856,14169.34672,14721.62123,16509.69423,18362.19576,12653.60958,13271.85008,13806.32447,15457.20163,16944.94167,1032.948979,897.4966474,915.2967638,1052.492602,1417.25409
Firm 77,0.2927490373,2.359448658,1.200668067,0.4819635559,0.4998555466,12.71306104,11.06825308,9.696106438,2.399470858,4.118763108,28.15474783,29.70942736,26.90766357,7.016611194,6.790755127,2.13398366,2.586454127,2.674041819,2.817743861,1.588696125,1.975654446,4.543134993,4.14799754,0.5988471923,0.4998555466,31.7114031,34.16807313,37.75345951,11.89676314,22.67273663,3.556655268,5.76394191,10.84579594,4.880151943,15.88198151,28.15474783,28.40413122,26.90766357,7.016611194,6.790755127
Firm 78,437.1348238,325.2627995,313.5718844,301.9685485,204.450655,224.2676246,200.1037853,185.5260554,181.5103027,161.1398636,332.0548622,315.3296138,284.6546543,257.8992433,201.7961249,1.42670059,1.518444892,1.478437462,1.369110077,1.206700272,463.3465759,478.0277533,467.45157,473.5460711,350.1428126,960.1126568,980.6566647,937.3750201,942.5240883,843.2575588,700.9216087,734.3892573,718.6826559,751.2610147,665.5510339,259.1910491,246.2674075,218.6923642,191.2630736,177.7065249
Firm 79,523.2276713,0,0,0,0,556.7530177,0,0,0,0,681.3992079,0,0,0,0,1.179311748,0,0,0,0,669.9065649,0,0,0,0,2368.39872,0,0,0,0,1686.999512,0,0,0,0,681.3992079,0,0,0,0
Firm 80,2189.028749,2197.669253,2206.862443,2158.35687,1976.082402,261.5584272,270.9043175,267.9850043,254.6181929,231.4220082,417.3979819,507.4587101,467.921536,435.1138793,493.8137523,1.53769856,1.80498819,1.682488565,1.646656774,2.05611832,2291.735342,2297.041645,2296.128641,2243.987766,2079.515659,1438.675958,1407.165743,1298.746529,1230.619431,1329.373679,1185.291344,1109.560502,1031.603301,984.375605,835.5599264,253.3846146,297.6052411,267.143227,246.2438262,493.8137523
Firm 81,0.4567484518,0.1887400888,0.1000589673,0.1003353617,0.08517673037,1.132134624,0.8542648267,0.7978286983,0.7429547112,1.012305233,3.661856955,3.724729905,3.843416685,4.002760139,3.859923573,3.116684798,4.20137881,4.641917283,5.191427643,3.674149333,0.6542118666,0.2784844483,0.1389646734,0.1416857575,0.1210513674,3.472763231,3.461410852,3.72966254,3.901086802,4.036081789,-0.1890937242,-0.2633190526,-0.1137541458,-0.1016733366,0.176158216,3.661856955,3.724729905,3.843416685,4.002760139,3.859923573
Firm 82,347.0243531,328.3215388,389.0509698,372.9473192,444.3755226,252.1047612,243.2099055,259.7046293,277.3054179,335.70835,487.1148145,501.7940073,476.0624528,545.9427287,593.2156349,1.861829341,1.988079703,1.766338027,1.897047963,1.702707408,429.6927615,401.6299408,496.1443009,446.0641147,580.1724712,1240.815135,1206.652991,1251.085097,1295.153803,1521.474131,753.7003204,704.8589842,775.022644,749.2110747,928.2584958,487.1148145,501.7940073,476.0624528,545.9427287,593.2156349
Firm 83,0,0,0,0,0,26.58284084,23.70412208,23.70580835,23.70191643,23.84491904,26.92253696,26.9321728,26.9379543,26.95694654,30.35976057,0.9758974224,1.09480582,1.094962947,1.095914858,1.226851703,0,0,0,0,0,26.94084506,26.95240806,26.9562624,26.97894517,30.38074454,0.018308096,0.020235264,0.018308096,0.02199862272,0.02098396877,26.92253696,26.9321728,26.9379543,26.95694654,30.35976057
Firm 84,0,0,0,0,0,0,0,0,1.44328228,0,0,0,0,1.643616137,0,0,0,0,1.09733365,0,0,0,0,0,0,0,0,0,3.773660077,0,0,0,0,2.13004394,0,0,0,0,1.643616137,0
Firm 85,0,0,0,0,0,14.08424054,13.88420055,13.89887383,13.65230864,13.32672561,19.04469713,18.70101297,17.4031114,17.03808817,16.23392888,1.302957401,1.297877888,1.206526507,1.202553325,1.173788265,0,0,0,0,0,27.18804771,26.92854009,26.68841206,26.34296816,25.86826622,8.14335058,8.227527117,9.285300667,9.304879731,9.634337332,19.04469713,18.70101297,17.4031114,17.03808817,16.23392888
Firm 86,34.95902978,4.291015628,11.24445444,10.73002741,10.31042943,32.80725164,23.33792274,18.62480363,18.94465453,16.2666855,49.68611204,35.18797376,31.73250467,34.23647552,30.67176111,1.459334147,1.45285289,1.641731875,1.741373535,1.816892462,125.239803,107.4077952,113.6500453,110.574276,105.3355924,320.3290617,306.3429783,289.5776814,286.8605049,307.1902001,270.6429497,271.1550045,257.8451767,252.6240294,276.518439,49.68611204,35.18797376,31.73250467,34.23647552,30.67176111
Firm 87,287.5091997,364.7860162,392.0697597,407.9654399,342.6051721,79.75503482,80.38775346,83.8075823,91.46482731,98.60237322,111.627493,116.5353479,119.3251881,126.7698827,164.5260061,1.348660513,1.396874422,1.371950353,1.335523548,1.60781756,393.0570349,415.4488333,465.5284045,486.2373714,439.8660844,240.25872,197.3644931,188.9088788,201.7558074,235.2414003,140.8866832,100.4800487,82.70874221,86.32552269,84.32105022,99.37203685,96.88444442,106.2001366,115.4302847,150.92035
Firm 88,3.888040241,2.984527995,3.241568642,3.218878937,3.207033117,10.97976441,7.527080758,7.205483979,6.683973593,7.103222431,9.653022712,10.55074689,11.30612036,11.25604293,9.773890704,0.8471491636,1.35066053,1.511959046,1.622708815,1.325872136,3.888040241,2.984527995,3.241568642,3.218878937,3.207033117,24.25089014,23.68684584,23.94214935,24.59143557,24.02940598,14.59786743,13.13609896,12.63602899,13.33539264,14.25551527,9.653022712,10.55074689,11.30612036,11.25604293,9.773890704
Firm 89,0,363.4223359,320.9687194,357.1866696,290.2482105,175.5873657,160.0384108,137.0351009,149.989535,166.6869794,612.2230066,628.7047497,626.8229328,580.8468078,523.6225991,3.359742264,3.785402732,4.407604658,3.731558274,3.026957236,0,373.8548661,332.0566161,366.8852197,295.7719461,5999.744214,6368.236266,6076.565816,6663.218879,6450.659051,5385.276244,5709.180676,5429.577612,6038.037093,5817.777252,614.4679702,659.05559,646.9882034,625.1817866,632.8817993
Firm 90,0,0,0,0.006825121649,0.003109595995,0,0,0,51.87687991,44.12650135,0,0,0,123.1439258,76.50739303,0,0,0,2.287329478,1.670680828,0,0,0,0.006825121649,0.003109595995,0,0,0,216.0174766,174.0863279,0,0,0,92.87355076,97.57893485,0,0,0,123.1439258,76.50739303
Firm 91,499.6972498,532.6960823,544.7009921,0,0,536.1597205,570.9057818,616.8745233,0,0,674.1786489,761.5043868,756.4214032,0,0,1.211631039,1.285279404,1.181562107,0,0,1645.379145,1941.38749,2212.183574,0,0,4271.644592,4851.791912,6073.378806,0,0,3645.147681,4133.248707,5362.302546,0,0,626.4969112,718.5432053,711.076261,0,0
Firm 92,0,279.7328099,299.6069567,415.908603,484.0633226,41.92322553,44.6702487,51.72827666,51.68374046,59.52270147,89.10042322,108.3093537,110.3903778,132.813625,120.2572098,2.047927876,2.336346076,2.056329897,2.476157548,1.94678535,0,279.7328099,299.6069567,415.908603,484.0633226,198.6990108,192.154347,204.0796408,194.9551943,127.1660545,109.5985876,83.84499341,93.689263,62.14156934,35.81636478,89.10042322,108.3093537,110.3903778,132.813625,91.34968976
Firm 93,26.65446982,-1.730814634,-1.175613992,0.1472465403,0.646446211,69.40260397,44.0119618,23.63212365,23.32505975,19.19438582,104.4625274,102.5339473,55.19763177,57.45734296,58.97063793,1.450355091,2.244845878,2.250646433,2.373626346,2.960405387,90.84839736,0.9699503995,0.08097561041,1.193947429,2.127843104,336.8242682,234.3043204,162.5619148,147.5046032,129.6242233,232.3617408,131.7703731,107.364283,90.04726022,70.65358531,104.4625274,102.5339473,55.19763177,57.45734296,58.97063793
Firm 94,0,0,0,0,0,2.05190769,0.8962274492,0.9437664831,0.8954079416,0.8678734566,12.97878478,11.88186405,12.76231615,12.62199115,12.26426406,6.094888878,12.77485319,13.03030343,13.58302529,13.61678771,0,0,0,0,0,13.56324895,12.37401542,13.24474034,12.85800854,12.45207206,0.584464168,0.4921513657,0.482424193,0.2360173953,0.1878080026,12.97878478,11.88186405,12.76231615,12.62199115,12.26426406
Firm 95,0,0.01204832672,0.010599424,0,0,1.780685887,1.560090692,1.794726432,0,0,24.36839472,24.28874744,25.03573189,0,0,13.18648922,15.0018512,13.44161999,0,0,0,0.01204832672,0.010599424,0,0,25.30946651,24.79947522,25.69505079,0,0,0.941071787,0.5107277816,0.6593189004,0,0,24.36839472,24.28874744,25.03573189,0,0
Firm 96,-0.01036527309,0.004387197952,0,0,0,24.15353958,23.68751534,0,0,0,67.28113312,70.8087332,0,0,0,2.684121023,2.880427153,0,0,0,-0.008915079168,0.003638493184,0,0,0,139.4832897,133.433073,0,0,0,72.2021566,62.62433978,0,0,0,67.28113312,70.8087332,0,0,0
Firm 97,6.998084784,6.698226328,5.30622153,6.581324143,8.884332879,14.17677422,20.35148904,16.16265646,16.36736127,22.20281645,43.80982724,44.27163557,48.68395607,46.36376136,33.99192504,2.977718901,2.096133585,2.90243632,2.729540693,1.475221631,8.418671979,8.197204472,8.048529339,8.036733163,10.28299318,74.92515476,82.58220911,73.76934958,75.64672136,76.2811405,31.11532752,38.31057355,25.08539351,29.28296,42.28921546,43.80982724,44.27163557,48.68395607,46.36376136,33.99192504
Firm 98,0,0,0,0,0,0,0,0,2.989305399,2.550881355,0,0,0,17.13157614,13.37631888,0,0,0,5.522256998,5.05284451,0,0,0,0,0,0,0,0,17.58339132,13.7439936,0,0,0,0.4518151795,0.3676747285,0,0,0,17.13157614,13.37631888
Firm 99,169.1719421,157.4647887,165.5767108,175.4771869,170.3572541,256.3091351,259.2407135,244.9856415,245.5646534,281.4739911,401.1999609,365.348389,396.6804619,421.2066278,402.5653092,1.508295298,1.35798061,1.560234077,1.652794739,1.378121969,456.3936209,432.9388213,453.1610385,473.8706236,451.529806,857.0353734,961.9734774,1072.105591,1118.350071,1215.246388,448.0012166,586.9211832,673.2001794,694.6404151,806.7394918,409.0341568,375.0522942,398.9054112,423.7096561,408.5068966
Firm 100,21.8464833,27.95467802,28.69544683,31.71711148,32.64125745,32.93591694,37.12192736,37.50744823,36.47065559,37.05331086,44.23246243,45.02206668,43.00261974,40.42853291,41.41871298,1.294079444,1.168650073,1.104757543,1.068154296,1.077107773,21.95857917,28.17449157,28.94411267,31.94328155,32.874314,264.5300286,269.2337728,257.1013891,272.3950125,274.1102031,149.4945789,150.3803758,137.3238328,151.1306052,154.5671347,115.0354497,118.853397,119.7775563,121.2644073,119.5430684
Firm 101,6970.082356,7589.719327,9118.731037,11546.43618,0,5492.097353,5794.890121,5288.338433,4974.308906,0,7594.628618,8106.013571,7656.619342,7443.095411,0,1.332471395,1.347881464,1.395106608,1.441817906,0,7112.580641,8142.824326,9523.109139,13313.55376,0,118840.1887,124000.496,115580.3057,150482.9048,0,111462.0769,116116.5875,108425.3043,142888.4295,0,7378.111896,7883.908525,7155.001419,7594.475263,0
Firm 102,0,0,0,0,0,0,0.7800694272,0,0,0,0,9.236280259,0,0,0,0,11.40915355,0,0,0,0,0,0,0,0,0,9.272993773,0,0,0,0,0.03671351398,0,0,0,0,9.236280259,0,0,0
Firm 103,0,0,0,0,0,1.44329754,1.003890063,0.9467794805,0.9656012438,1.103769958,39.21066741,36.3346659,37.24993156,37.6402409,7.268140667,26.1780892,34.8758335,37.91108573,37.56160642,6.345039565,0,0,0,0,0,50.17414027,47.33849223,47.12339913,47.52406887,14.8030592,10.95202207,10.90987149,9.873467571,9.883827978,7.534918533,39.22211821,36.42862074,37.24993156,37.6402409,7.268140667
Firm 104,350.0494136,1702.44188,11020.36938,1532.725895,4082.462188,2.28777614,4.494368709,5.956325552,9.928426529,3.636287367,28.74037294,29.47510152,28.49388133,32.2992013,30.49229088,12.105102,6.31940503,4.609594944,3.13473575,8.08018747,350.0494136,1702.44188,11020.36938,1532.725895,4082.462188,7146.474195,8461.227166,16445.02582,20525.21368,14833.41757,7117.733822,8431.752064,16416.53194,20492.91448,14802.92528,28.74037294,29.47510152,28.49388133,32.2992013,30.49229088
Firm 105,31275.65087,11614.62623,-78.41330737,10739.23766,4641.248617,12727.26098,13872.86013,8970.442719,9390.562212,9637.507832,17639.02772,19765.28271,12527.28849,12336.67597,13117.05855,1.335455045,1.372861112,1.345652063,1.265890509,1.311478856,31888.23545,12949.70989,12891.09935,10956.56759,5811.66192,176860.5287,189105.5252,177363.0731,190804.8762,190431.2075,155483.4489,164319.3868,159576.4556,171118.2555,170567.883,21377.07981,24786.13848,17786.6175,19686.62071,19863.32451
